Source Name	Characteristics[human]	Protocol REF	Parameter Value[run order]	Parameter Value[study cell]	Date	Performer	Sample Name	Characteristics[organism part]
GRP-Arm_3.SBJ-001	human	sample collection	177	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-001.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-001	human	sample collection	178	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-001.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-001	human	sample collection	163	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-001.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-002	human	sample collection	157	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-002.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-002	human	sample collection	189	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-002.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-002	human	sample collection	190	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-002.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-002	human	sample collection	167	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-002.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-002	human	sample collection	191	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-002.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-002	human	sample collection	147	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-002.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-003	human	sample collection	170	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-003.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-003	human	sample collection	199	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-003.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-003	human	sample collection	198	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-003.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-003	human	sample collection	200	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-003.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-003	human	sample collection	150	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-003.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-003	human	sample collection	160	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-003.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-004	human	sample collection	149	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-004.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-004	human	sample collection	159	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-004.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-004	human	sample collection	197	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-004.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-004	human	sample collection	169	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-004.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-004	human	sample collection	195	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-004.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-004	human	sample collection	196	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-004.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-005	human	sample collection	194	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-005.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-005	human	sample collection	192	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-005.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-005	human	sample collection	158	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-005.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-005	human	sample collection	168	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-005.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-005	human	sample collection	148	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-005.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-005	human	sample collection	193	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-005.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-006	human	sample collection	184	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-006.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-006	human	sample collection	165	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-006.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-006	human	sample collection	183	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-006.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-006	human	sample collection	155	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-006.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-006	human	sample collection	145	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-006.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-006	human	sample collection	185	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-006.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-007	human	sample collection	144	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-007.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-007	human	sample collection	164	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-007.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-007	human	sample collection	181	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-007.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-007	human	sample collection	180	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-007.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-007	human	sample collection	182	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-007.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-007	human	sample collection	154	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-007.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-008	human	sample collection	187	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-008.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-008	human	sample collection	188	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-008.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-008	human	sample collection	146	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-008.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-008	human	sample collection	156	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-008.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-008	human	sample collection	186	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-008.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-008	human	sample collection	166	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-008.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-009	human	sample collection	173	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-009.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-009	human	sample collection	171	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-009.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-009	human	sample collection	172	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-009.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-009	human	sample collection	151	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-009.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-009	human	sample collection	161	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-009.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-009	human	sample collection	141	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-009.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-010	human	sample collection	176	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-010.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
GRP-Arm_3.SBJ-010	human	sample collection	175	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-010.CEL-CELL_Arm_3_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-010	human	sample collection	162	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-010.CEL-CELL_Arm_3_5.SMP-.blood.1	blood
GRP-Arm_3.SBJ-010	human	sample collection	142	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-010.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-010	human	sample collection	174	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-010.CEL-CELL_Arm_3_5.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-010	human	sample collection	152	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-010.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-001	human	sample collection	265	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-001.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-001	human	sample collection	239	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-001.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-001	human	sample collection	229	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-001.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-001	human	sample collection	219	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-001.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-001	human	sample collection	267	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-001.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-001	human	sample collection	266	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-001.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-001	human	sample collection	209	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-001.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-002	human	sample collection	268	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-002.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-002	human	sample collection	220	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-002.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-002	human	sample collection	240	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-002.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-002	human	sample collection	270	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-002.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-002	human	sample collection	230	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-002.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-002	human	sample collection	269	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-002.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-002	human	sample collection	210	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-002.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-003	human	sample collection	252	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-003.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-003	human	sample collection	204	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-003.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-003	human	sample collection	224	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-003.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-003	human	sample collection	250	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-003.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-003	human	sample collection	234	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-003.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-003	human	sample collection	251	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-003.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-003	human	sample collection	214	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-003.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-004	human	sample collection	261	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-004.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-004	human	sample collection	237	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-004.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-004	human	sample collection	207	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-004.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-004	human	sample collection	217	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-004.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-004	human	sample collection	259	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-004.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-004	human	sample collection	260	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-004.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-004	human	sample collection	227	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-004.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-005	human	sample collection	203	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-005.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-005	human	sample collection	247	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-005.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-005	human	sample collection	248	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-005.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-005	human	sample collection	213	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-005.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-005	human	sample collection	223	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-005.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-005	human	sample collection	249	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-005.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-005	human	sample collection	233	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-005.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-006	human	sample collection	212	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-006.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-006	human	sample collection	246	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-006.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-006	human	sample collection	202	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-006.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-006	human	sample collection	245	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-006.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-006	human	sample collection	222	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-006.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-006	human	sample collection	244	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-006.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-006	human	sample collection	232	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-006.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-007	human	sample collection	263	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-007.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-007	human	sample collection	262	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-007.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-007	human	sample collection	264	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-007.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-007	human	sample collection	208	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-007.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-007	human	sample collection	218	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-007.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-007	human	sample collection	238	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-007.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-007	human	sample collection	228	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-007.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-008	human	sample collection	216	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-008.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-008	human	sample collection	256	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-008.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-008	human	sample collection	226	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-008.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-008	human	sample collection	236	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-008.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-008	human	sample collection	206	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-008.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-008	human	sample collection	258	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-008.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-008	human	sample collection	257	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-008.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-009	human	sample collection	211	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-009.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-009	human	sample collection	241	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-009.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-009	human	sample collection	243	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-009.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-009	human	sample collection	242	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-009.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-009	human	sample collection	221	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-009.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-009	human	sample collection	231	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-009.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
GRP-Arm_4.SBJ-009	human	sample collection	201	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-009.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-010	human	sample collection	254	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-010.CEL-CELL_Arm_4_5.SMP-.saliva.2	saliva
GRP-Arm_4.SBJ-010	human	sample collection	205	CELL_Arm_4_0	2020-08-21	Bob	GRP-Arm_4.SBJ-010.CEL-CELL_Arm_4_0.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-010	human	sample collection	253	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-010.CEL-CELL_Arm_4_5.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-010	human	sample collection	215	CELL_Arm_4_2	2020-08-21	Bob	GRP-Arm_4.SBJ-010.CEL-CELL_Arm_4_2.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-010	human	sample collection	225	CELL_Arm_4_4	2020-08-21	Bob	GRP-Arm_4.SBJ-010.CEL-CELL_Arm_4_4.SMP-.saliva.1	saliva
GRP-Arm_4.SBJ-010	human	sample collection	255	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-010.CEL-CELL_Arm_4_5.SMP-.saliva.3	saliva
GRP-Arm_4.SBJ-010	human	sample collection	235	CELL_Arm_4_5	2020-08-21	Bob	GRP-Arm_4.SBJ-010.CEL-CELL_Arm_4_5.SMP-.blood.1	blood
