Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Performer	Labeled Extract Name	Protocol REF	Parameter Value[instrument]	Parameter Value[injection_mode]	Parameter Value[acquisition_mode]	MS Assay Name	Performer	Raw Data File	Raw Data File
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-30	lipids	labelling	Ellipsis	labelled extract_17-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_17-53	Ellipsis	raw spectral data file_17-55	raw spectral data file_17-55
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-30	lipids	labelling	Ellipsis	labelled extract_17-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_17-47	Ellipsis	raw spectral data file_17-49	raw spectral data file_17-49
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-1	polar fraction	labelling	Ellipsis	labelled extract_17-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_17-24	Ellipsis	raw spectral data file_17-26	raw spectral data file_17-26
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-1	polar fraction	labelling	Ellipsis	labelled extract_17-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_17-21	Ellipsis	raw spectral data file_17-23	raw spectral data file_17-23
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-30	lipids	labelling	Ellipsis	labelled extract_17-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_17-39	Ellipsis	raw spectral data file_17-41	raw spectral data file_17-41
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-1	polar fraction	labelling	Ellipsis	labelled extract_17-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_17-4	Ellipsis	raw spectral data file_17-6	raw spectral data file_17-6
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-30	lipids	labelling	Ellipsis	labelled extract_17-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_17-42	Ellipsis	raw spectral data file_17-44	raw spectral data file_17-44
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-1	polar fraction	labelling	Ellipsis	labelled extract_17-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_17-18	Ellipsis	raw spectral data file_17-20	raw spectral data file_17-20
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-1	polar fraction	labelling	Ellipsis	labelled extract_17-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_17-27	Ellipsis	raw spectral data file_17-29	raw spectral data file_17-29
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-21	Ellipsis	raw spectral data file_3-23	raw spectral data file_3-23
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-39	Ellipsis	raw spectral data file_3-41	raw spectral data file_3-41
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-56	Ellipsis	raw spectral data file_3-58	raw spectral data file_3-58
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-7	Ellipsis	raw spectral data file_3-9	raw spectral data file_3-9
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-53	Ellipsis	raw spectral data file_3-55	raw spectral data file_3-55
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-50	Ellipsis	raw spectral data file_3-52	raw spectral data file_3-52
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-27	Ellipsis	raw spectral data file_3-29	raw spectral data file_3-29
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-33	Ellipsis	raw spectral data file_3-35	raw spectral data file_3-35
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-24	Ellipsis	raw spectral data file_3-26	raw spectral data file_3-26
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-42	Ellipsis	raw spectral data file_3-44	raw spectral data file_3-44
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-18	Ellipsis	raw spectral data file_3-20	raw spectral data file_3-20
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-10	Ellipsis	raw spectral data file_3-12	raw spectral data file_3-12
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-47	Ellipsis	raw spectral data file_3-49	raw spectral data file_3-49
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-36	Ellipsis	raw spectral data file_3-38	raw spectral data file_3-38
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-13	Ellipsis	raw spectral data file_3-15	raw spectral data file_3-15
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-4	Ellipsis	raw spectral data file_3-6	raw spectral data file_3-6
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-30	lipids	labelling	Ellipsis	labelled extract_4-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_4-56	Ellipsis	raw spectral data file_4-58	raw spectral data file_4-58
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-30	lipids	labelling	Ellipsis	labelled extract_4-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_4-33	Ellipsis	raw spectral data file_4-35	raw spectral data file_4-35
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-30	lipids	labelling	Ellipsis	labelled extract_4-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_4-47	Ellipsis	raw spectral data file_4-49	raw spectral data file_4-49
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-30	lipids	labelling	Ellipsis	labelled extract_4-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_4-50	Ellipsis	raw spectral data file_4-52	raw spectral data file_4-52
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-30	lipids	labelling	Ellipsis	labelled extract_4-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_4-36	Ellipsis	raw spectral data file_4-38	raw spectral data file_4-38
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-30	lipids	labelling	Ellipsis	labelled extract_4-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_4-53	Ellipsis	raw spectral data file_4-55	raw spectral data file_4-55
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-30	lipids	labelling	Ellipsis	labelled extract_4-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_4-39	Ellipsis	raw spectral data file_4-41	raw spectral data file_4-41
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-1	polar fraction	labelling	Ellipsis	labelled extract_4-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_4-27	Ellipsis	raw spectral data file_4-29	raw spectral data file_4-29
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-1	polar fraction	labelling	Ellipsis	labelled extract_4-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_4-21	Ellipsis	raw spectral data file_4-23	raw spectral data file_4-23
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-1	polar fraction	labelling	Ellipsis	labelled extract_4-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_4-13	Ellipsis	raw spectral data file_4-15	raw spectral data file_4-15
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-1	polar fraction	labelling	Ellipsis	labelled extract_4-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_4-7	Ellipsis	raw spectral data file_4-9	raw spectral data file_4-9
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-1	polar fraction	labelling	Ellipsis	labelled extract_4-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_4-10	Ellipsis	raw spectral data file_4-12	raw spectral data file_4-12
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-1	polar fraction	labelling	Ellipsis	labelled extract_4-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_4-24	Ellipsis	raw spectral data file_4-26	raw spectral data file_4-26
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-30	lipids	labelling	Ellipsis	labelled extract_4-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_4-42	Ellipsis	raw spectral data file_4-44	raw spectral data file_4-44
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-1	polar fraction	labelling	Ellipsis	labelled extract_4-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_4-4	Ellipsis	raw spectral data file_4-6	raw spectral data file_4-6
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_4-1	polar fraction	labelling	Ellipsis	labelled extract_4-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_4-18	Ellipsis	raw spectral data file_4-20	raw spectral data file_4-20
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-24	Ellipsis	raw spectral data file_5-26	raw spectral data file_5-26
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-18	Ellipsis	raw spectral data file_5-20	raw spectral data file_5-20
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-39	Ellipsis	raw spectral data file_5-41	raw spectral data file_5-41
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-27	Ellipsis	raw spectral data file_5-29	raw spectral data file_5-29
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-13	Ellipsis	raw spectral data file_5-15	raw spectral data file_5-15
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-36	Ellipsis	raw spectral data file_5-38	raw spectral data file_5-38
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-47	Ellipsis	raw spectral data file_5-49	raw spectral data file_5-49
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-50	Ellipsis	raw spectral data file_5-52	raw spectral data file_5-52
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-10	Ellipsis	raw spectral data file_5-12	raw spectral data file_5-12
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-33	Ellipsis	raw spectral data file_5-35	raw spectral data file_5-35
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-56	Ellipsis	raw spectral data file_5-58	raw spectral data file_5-58
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-21	Ellipsis	raw spectral data file_5-23	raw spectral data file_5-23
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-4	Ellipsis	raw spectral data file_5-6	raw spectral data file_5-6
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-53	Ellipsis	raw spectral data file_5-55	raw spectral data file_5-55
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-7	Ellipsis	raw spectral data file_5-9	raw spectral data file_5-9
GRP-treatment.SBJ-003.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-42	Ellipsis	raw spectral data file_5-44	raw spectral data file_5-44
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	polar fraction	labelling	Ellipsis	labelled extract_9-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_9-18	Ellipsis	raw spectral data file_9-20	raw spectral data file_9-20
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-30	lipids	labelling	Ellipsis	labelled extract_9-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_9-53	Ellipsis	raw spectral data file_9-55	raw spectral data file_9-55
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-30	lipids	labelling	Ellipsis	labelled extract_9-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_9-36	Ellipsis	raw spectral data file_9-38	raw spectral data file_9-38
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-30	lipids	labelling	Ellipsis	labelled extract_9-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_9-47	Ellipsis	raw spectral data file_9-49	raw spectral data file_9-49
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	polar fraction	labelling	Ellipsis	labelled extract_9-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_9-21	Ellipsis	raw spectral data file_9-23	raw spectral data file_9-23
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	polar fraction	labelling	Ellipsis	labelled extract_9-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_9-10	Ellipsis	raw spectral data file_9-12	raw spectral data file_9-12
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	polar fraction	labelling	Ellipsis	labelled extract_9-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_9-7	Ellipsis	raw spectral data file_9-9	raw spectral data file_9-9
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	polar fraction	labelling	Ellipsis	labelled extract_9-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_9-13	Ellipsis	raw spectral data file_9-15	raw spectral data file_9-15
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-30	lipids	labelling	Ellipsis	labelled extract_9-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_9-50	Ellipsis	raw spectral data file_9-52	raw spectral data file_9-52
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-30	lipids	labelling	Ellipsis	labelled extract_9-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_9-33	Ellipsis	raw spectral data file_9-35	raw spectral data file_9-35
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	polar fraction	labelling	Ellipsis	labelled extract_9-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_9-4	Ellipsis	raw spectral data file_9-6	raw spectral data file_9-6
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	polar fraction	labelling	Ellipsis	labelled extract_9-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_9-27	Ellipsis	raw spectral data file_9-29	raw spectral data file_9-29
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-30	lipids	labelling	Ellipsis	labelled extract_9-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_9-39	Ellipsis	raw spectral data file_9-41	raw spectral data file_9-41
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-30	lipids	labelling	Ellipsis	labelled extract_9-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_9-56	Ellipsis	raw spectral data file_9-58	raw spectral data file_9-58
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-30	lipids	labelling	Ellipsis	labelled extract_9-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_9-42	Ellipsis	raw spectral data file_9-44	raw spectral data file_9-44
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	polar fraction	labelling	Ellipsis	labelled extract_9-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_9-24	Ellipsis	raw spectral data file_9-26	raw spectral data file_9-26
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-30	lipids	labelling	Ellipsis	labelled extract_10-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_10-33	Ellipsis	raw spectral data file_10-35	raw spectral data file_10-35
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-30	lipids	labelling	Ellipsis	labelled extract_10-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_10-50	Ellipsis	raw spectral data file_10-52	raw spectral data file_10-52
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	polar fraction	labelling	Ellipsis	labelled extract_10-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_10-4	Ellipsis	raw spectral data file_10-6	raw spectral data file_10-6
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	polar fraction	labelling	Ellipsis	labelled extract_10-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_10-21	Ellipsis	raw spectral data file_10-23	raw spectral data file_10-23
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-30	lipids	labelling	Ellipsis	labelled extract_10-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_10-56	Ellipsis	raw spectral data file_10-58	raw spectral data file_10-58
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-30	lipids	labelling	Ellipsis	labelled extract_10-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_10-47	Ellipsis	raw spectral data file_10-49	raw spectral data file_10-49
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	polar fraction	labelling	Ellipsis	labelled extract_10-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_10-24	Ellipsis	raw spectral data file_10-26	raw spectral data file_10-26
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	polar fraction	labelling	Ellipsis	labelled extract_10-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_10-27	Ellipsis	raw spectral data file_10-29	raw spectral data file_10-29
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-30	lipids	labelling	Ellipsis	labelled extract_10-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_10-53	Ellipsis	raw spectral data file_10-55	raw spectral data file_10-55
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	polar fraction	labelling	Ellipsis	labelled extract_10-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_10-10	Ellipsis	raw spectral data file_10-12	raw spectral data file_10-12
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-30	lipids	labelling	Ellipsis	labelled extract_10-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_10-39	Ellipsis	raw spectral data file_10-41	raw spectral data file_10-41
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-30	lipids	labelling	Ellipsis	labelled extract_10-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_10-36	Ellipsis	raw spectral data file_10-38	raw spectral data file_10-38
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	polar fraction	labelling	Ellipsis	labelled extract_10-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_10-13	Ellipsis	raw spectral data file_10-15	raw spectral data file_10-15
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-30	lipids	labelling	Ellipsis	labelled extract_10-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_10-42	Ellipsis	raw spectral data file_10-44	raw spectral data file_10-44
GRP-treatment.SBJ-004.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	polar fraction	labelling	Ellipsis	labelled extract_10-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_10-18	Ellipsis	raw spectral data file_10-20	raw spectral data file_10-20
