Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[instrument]	Parameter Value[acquisition_mode]	Parameter Value[pulse_sequence]	Performer	Raw Data File
GRP4_SBJ10_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S34-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S34-raw_spectral_data_file-R2
GRP4_SBJ10_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S34-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S34-raw_spectral_data_file-R1
GRP5_SBJ01_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S43-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S43-raw_spectral_data_file-R2
GRP5_SBJ01_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S43-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S43-raw_spectral_data_file-R1
GRP5_SBJ02_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S46-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S46-raw_spectral_data_file-R1
GRP5_SBJ02_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S46-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S46-raw_spectral_data_file-R2
GRP5_SBJ03_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S41-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S41-raw_spectral_data_file-R1
GRP5_SBJ03_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S41-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S41-raw_spectral_data_file-R2
GRP5_SBJ04_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S47-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S47-raw_spectral_data_file-R1
GRP5_SBJ04_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S47-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S47-raw_spectral_data_file-R2
GRP5_SBJ05_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S48-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S48-raw_spectral_data_file-R2
GRP5_SBJ05_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S48-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S48-raw_spectral_data_file-R1
GRP5_SBJ06_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S44-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S44-raw_spectral_data_file-R2
GRP5_SBJ06_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S44-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S44-raw_spectral_data_file-R1
GRP5_SBJ07_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S45-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S45-raw_spectral_data_file-R1
GRP5_SBJ07_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S45-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S45-raw_spectral_data_file-R2
GRP5_SBJ08_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S50-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S50-raw_spectral_data_file-R1
GRP5_SBJ08_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S50-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S50-raw_spectral_data_file-R2
GRP5_SBJ09_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S42-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S42-raw_spectral_data_file-R2
GRP5_SBJ09_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S42-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S42-raw_spectral_data_file-R1
GRP5_SBJ10_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S49-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S49-raw_spectral_data_file-R1
GRP5_SBJ10_st_cl5_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S49-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S49-raw_spectral_data_file-R2
GRP6_SBJ01_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S59-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S59-raw_spectral_data_file-R2
GRP6_SBJ01_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S59-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S59-raw_spectral_data_file-R1
GRP6_SBJ02_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S56-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S56-raw_spectral_data_file-R2
GRP6_SBJ02_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S56-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S56-raw_spectral_data_file-R1
GRP6_SBJ03_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S52-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S52-raw_spectral_data_file-R1
GRP6_SBJ03_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S52-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S52-raw_spectral_data_file-R2
GRP6_SBJ04_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S57-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S57-raw_spectral_data_file-R2
GRP6_SBJ04_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S57-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S57-raw_spectral_data_file-R1
GRP6_SBJ05_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S51-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S51-raw_spectral_data_file-R1
GRP6_SBJ05_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S51-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S51-raw_spectral_data_file-R2
GRP6_SBJ06_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S54-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S54-raw_spectral_data_file-R1
GRP6_SBJ06_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S54-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S54-raw_spectral_data_file-R2
GRP6_SBJ07_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S58-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S58-raw_spectral_data_file-R1
GRP6_SBJ07_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S58-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S58-raw_spectral_data_file-R2
GRP6_SBJ08_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S53-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S53-raw_spectral_data_file-R2
GRP6_SBJ08_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S53-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S53-raw_spectral_data_file-R1
GRP6_SBJ09_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S55-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S55-raw_spectral_data_file-R2
GRP6_SBJ09_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S55-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S55-raw_spectral_data_file-R1
GRP6_SBJ10_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S60-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S60-raw_spectral_data_file-R2
GRP6_SBJ10_st_cl6_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S60-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S60-raw_spectral_data_file-R1
GRP7_SBJ01_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S61-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S61-raw_spectral_data_file-R2
GRP7_SBJ01_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S61-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S61-raw_spectral_data_file-R1
GRP7_SBJ02_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S68-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S68-raw_spectral_data_file-R2
GRP7_SBJ02_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S68-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S68-raw_spectral_data_file-R1
GRP7_SBJ03_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S65-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S65-raw_spectral_data_file-R2
GRP7_SBJ03_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S65-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S65-raw_spectral_data_file-R1
GRP7_SBJ04_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S69-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S69-raw_spectral_data_file-R1
GRP7_SBJ04_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S69-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S69-raw_spectral_data_file-R2
GRP7_SBJ05_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S62-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S62-raw_spectral_data_file-R1
GRP7_SBJ05_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S62-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S62-raw_spectral_data_file-R2
GRP7_SBJ06_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S66-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S66-raw_spectral_data_file-R1
GRP7_SBJ06_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S66-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S66-raw_spectral_data_file-R2
GRP7_SBJ07_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S63-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S63-raw_spectral_data_file-R1
GRP7_SBJ07_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S63-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S63-raw_spectral_data_file-R2
GRP7_SBJ08_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S70-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S70-raw_spectral_data_file-R2
GRP7_SBJ08_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S70-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S70-raw_spectral_data_file-R1
GRP7_SBJ09_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S67-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S67-raw_spectral_data_file-R2
GRP7_SBJ09_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S67-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S67-raw_spectral_data_file-R1
GRP7_SBJ10_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S64-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S64-raw_spectral_data_file-R2
GRP7_SBJ10_st_cl7_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S64-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S64-raw_spectral_data_file-R1
GRP8_SBJ01_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S76-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S76-raw_spectral_data_file-R1
GRP8_SBJ01_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S76-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S76-raw_spectral_data_file-R2
GRP8_SBJ02_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S71-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S71-raw_spectral_data_file-R1
GRP8_SBJ02_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S71-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S71-raw_spectral_data_file-R2
GRP8_SBJ03_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S78-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S78-raw_spectral_data_file-R1
GRP8_SBJ03_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S78-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S78-raw_spectral_data_file-R2
GRP8_SBJ04_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S72-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S72-raw_spectral_data_file-R1
GRP8_SBJ04_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S72-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S72-raw_spectral_data_file-R2
GRP8_SBJ05_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S79-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S79-raw_spectral_data_file-R2
GRP8_SBJ05_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S79-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S79-raw_spectral_data_file-R1
GRP8_SBJ06_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S73-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S73-raw_spectral_data_file-R1
GRP8_SBJ06_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S73-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S73-raw_spectral_data_file-R2
GRP8_SBJ07_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S74-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S74-raw_spectral_data_file-R1
GRP8_SBJ07_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S74-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S74-raw_spectral_data_file-R2
GRP8_SBJ08_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S80-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S80-raw_spectral_data_file-R1
GRP8_SBJ08_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S80-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S80-raw_spectral_data_file-R2
GRP8_SBJ09_st_cl8_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S75-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S75-raw_spectral_data_file-R1
